H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,H* Data,,O* Data,O* Data,O* Data,O* Data,O* Data,O* Data,,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data,OH* Data
Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),Surface Only Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV),,Metals,Facet,Config,Site Fraction,Eads (eV),Adsorbed Surface Eform (eV)
NiCu,111,surf-far,0.25,-0.4497555,4.1147388,4.5644943,,NiCu,111,surf-far,0.25,-2.2984365,2.2660578,,NiCu,111,surf-far,0.25,-2.313098,2.2513963
NiCu,111,sub-close,0.75,-0.4248765,4.3591818,4.7840583,,NiCu,111,sub-close,0.75,-2.1583355,2.6257228,,NiCu,111,sub-close,0.75,-2.278173,2.5058853
NiCu,111,sub-far,0.25,-0.4091115,4.3749468,4.7840583,,NiCu,111,sub-far,0.25,-2.1266775,2.6573808,,NiCu,111,sub-far,0.25,-2.136077,2.6479813
NiCu,100,surf,1,-0.2992935,5.7266188,6.0259123,,NiCu,100,surf,1,-2.2262585,3.7996538,,NiCu,100,surf-close,0.5,-2.281152,3.7447603
NiCu,100,sub-close,0.25,-0.3641445,6.0719748,6.4361193,,NiCu,100,sub-close,0.25,-2.4703425,3.9657768,,NiCu,100,surf-far,0.5,-2.463597,3.5623153
NiCu,100,sub-adj,0.5,-0.3843505,6.0517688,6.4361193,,NiCu,100,sub-adj,0.5,-2.4102095,4.0259098,,NiCu,100,sub-close,0.5,-2.551398,3.8847213
NiCu,100,sub-diag,0.25,-0.3302645,6.1058548,6.4361193,,NiCu,100,sub-diag,0.25,-2.3615785,4.0745408,,NiCu,100,sub-far,0.5,-2.487793,3.9483263
NiCu,110,surf-close,0.5,-0.1732565,8.6633394,8.8365959,,NiCu,110,surf-close,0.5,-1.4184115,7.4181844,,NiCu,110,surf-close,0.5,-2.496484,6.3401119
NiCu,110,surf-far,0.5,-0.2510965,8.5854994,8.8365959,,NiCu,110,surf-far,0.5,-1.8341965,7.0023994,,NiCu,110,surf-far,0.5,-2.639997,6.1965989
NiCu,110,sub-close,0.5,-0.2737575,8.8703244,9.1440819,,NiCu,110,sub-close,0.5,-1.8880615,7.2560204,,NiCu,110,sub-close,0.5,-2.675887,6.4681949
NiCu,110,sub-far,0.5,-0.2901845,8.8538974,9.1440819,,NiCu,110,sub-far,0.5,-1.8352635,7.3088184,,NiCu,110,sub-far,0.5,-2.684594,6.4594879
NiFe,111,surf-close,0.75,-0.3744575,4.0650057,4.4394632,,NiFe,111,surf-close,0.75,-2.3041575,2.1353057,,NiFe,111,surf-close,0.75,-2.443847,1.9956162
NiFe,111,surf-far,0.25,-0.4426305,3.9968327,4.4394632,,NiFe,111,surf-far,0.25,-2.1039265,2.3355367,,NiFe,111,surf-far,0.25,-2.183555,2.2559082
NiFe,111,sub-close,0.75,-0.3948305,3.8383567,4.2331872,,NiFe,111,sub-close,0.75,-2.1118715,2.1213157,,NiFe,111,sub-close,0.75,-2.25801,1.9751772
NiFe,111,sub-far,0.25,-0.3143715,3.9188157,4.2331872,,NiFe,111,sub-far,0.25,-1.8851705,2.3480167,,NiFe,111,sub-far,0.25,-2.080988,2.1521992
NiFe,100,surf,1,-0.3158165,5.7027827,6.0185992,,NiFe,100,surf,1,-2.4796855,3.5389137,,NiFe,100,surf-close,0.5,-2.701619,3.3169802
NiFe,100,sub-close,0.25,-0.3450115,5.4650767,5.8100882,,NiFe,100,sub-close,0.25,-2.3828955,3.4271927,,NiFe,100,surf-far,0.5,-2.458014,3.5605852
NiFe,100,sub-adj,0.5,-0.3450385,5.4650497,5.8100882,,NiFe,100,sub-adj,0.5,-2.3756265,3.4344617,,NiFe,100,sub-close,0.5,-2.480963,3.3291252
NiFe,100,sub-diag,0.25,-0.2743995,5.5356887,5.8100882,,NiFe,100,sub-diag,0.25,-2.2423835,3.5677047,,NiFe,100,sub-far,0.5,-2.460907,3.3491812
NiFe,110,surf-close,0.5,-0.2170095,8.5224683,8.7394778,,NiFe,110,surf-close,0.5,-2.0272745,6.7122033,,NiFe,110,surf-close,0.5,-2.877663,5.8618148
NiFe,110,surf-far,0.5,-0.2395915,8.4998863,8.7394778,,NiFe,110,surf-far,0.5,-1.7999355,6.9395423,,NiFe,110,surf-far,0.5,-2.589459,6.1500188
NiFe,110,sub-close,0.5,-0.2793115,8.3805913,8.6599028,,NiFe,110,sub-close,0.5,-1.8319785,6.8279243,,NiFe,110,sub-close,0.5,-2.637966,6.0219368
NiFe,110,sub-far,0.5,-0.2466555,8.4132473,8.6599028,,NiFe,110,sub-far,0.5,-1.7912165,6.8686863,,NiFe,110,sub-far,0.5,-2.678511,5.9813918
NiIr,111,surf-close,0.75,-0.3468625,4.3293581,4.6762206,,NiIr,111,surf-close,0.75,-1.9117305,2.7644901,,NiIr,111,surf-close,0.75,-1.760416,2.9158046
NiIr,111,surf-far,0.25,-0.2623505,4.4138701,4.6762206,,NiIr,111,surf-far,0.25,-1.4459875,3.2302331,,NiIr,111,surf-far,0.25,-1.752708,2.9235126
NiIr,111,sub-close,0.75,-0.3920225,4.3674331,4.7594556,,NiIr,111,sub-close,0.75,-2.0967145,2.6627411,,NiIr,111,sub-close,0.75,-2.249584,2.5098716
NiIr,111,sub-far,0.25,-0.5025825,4.2568731,4.7594556,,NiIr,111,sub-far,0.25,-2.1319995,2.6274561,,NiIr,111,sub-far,0.25,-2.422317,2.3371386
NiIr,100,surf,1,-0.3468515,6.1713031,6.5181546,,NiIr,100,surf,1,-2.1003895,4.4177651,,NiIr,100,surf-close,0.5,-2.365546,4.1526086
NiIr,100,sub-close,0.25,-0.1724125,6.1169071,6.2893196,,NiIr,100,sub-close,0.25,-1.9382445,4.3510751,,NiIr,100,surf-far,0.5,-2.29401,4.2241446
NiIr,100,sub-adj,0.5,-0.3223365,5.9669831,6.2893196,,NiIr,100,sub-adj,0.5,-2.3429195,3.9464001,,NiIr,100,sub-close,0.5,-2.438593,3.8507266
NiIr,100,sub-diag,0.25,-0.5427335,5.7465861,6.2893196,,NiIr,100,sub-diag,0.25,-2.5184105,3.7709091,,NiIr,100,sub-far,0.5,-2.547833,3.7414866
NiIr,110,surf-close,0.5,-0.4795965,8.9002397,9.3798362,,NiIr,110,surf-close,0.5,-2.1587715,7.2210647,,NiIr,110,surf-close,0.5,-2.526109,6.8537272
NiIr,110,surf-far,0.5,-0.2158765,9.1639597,9.3798362,,NiIr,110,surf-far,0.5,-1.7797355,7.6001007,,NiIr,110,surf-far,0.5,-2.646983,6.7328532
NiIr,110,sub-close,0.5,-0.2229865,8.7163937,8.9393802,,NiIr,110,sub-close,0.5,-1.5973745,7.3420057,,NiIr,110,sub-close,0.5,-2.49088,6.4485002
NiIr,110,sub-far,0.5,-0.2563075,8.6830727,8.9393802,,NiIr,110,sub-far,0.5,-1.7503865,7.1889937,,NiIr,110,sub-far,0.5,-2.618513,6.3208672
NiMn,111,surf-close,0.75,-0.4246335,3.5865558,4.0111893,,NiMn,111,surf-close,0.75,-2.3739485,1.6372408,,NiMn,111,surf-close,0.75,-2.485501,1.5256883
NiMn,111,surf-far,0.25,-0.4701705,3.5410188,4.0111893,,NiMn,111,surf-far,0.25,-2.2122955,1.7988938,,NiMn,111,surf-far,0.25,-2.183377,1.8278123
NiMn,111,sub-close,0.75,-0.3922705,3.5196768,3.9119473,,NiMn,111,sub-close,0.75,-2.0953545,1.8165928,,NiMn,111,sub-close,0.75,-2.227892,1.6840553
NiMn,111,sub-far,0.25,-0.3594835,3.5524638,3.9119473,,NiMn,111,sub-far,0.25,-1.9179335,1.9940138,,NiMn,111,sub-far,0.25,-2.024761,1.8871863
NiMn,100,surf,1,-0.3565415,5.1756518,5.5321933,,NiMn,100,surf,1,-2.5459185,2.9862748,,NiMn,100,surf-close,0.5,-2.747928,2.7842653
NiMn,100,sub-close,0.25,-0.3905555,5.1773018,5.5678573,,NiMn,100,sub-close,0.25,-2.4144825,3.1533748,,NiMn,100,surf-far,0.5,-2.6235,2.9086933
NiMn,100,sub-adj,0.5,-0.3637705,5.2040868,5.5678573,,NiMn,100,sub-adj,0.5,-2.4212935,3.1465638,,NiMn,100,sub-close,0.5,-2.494816,3.0730413
NiMn,100,sub-diag,0.25,-0.3076035,5.2602538,5.5678573,,NiMn,100,sub-diag,0.25,-2.3044655,3.2633918,,NiMn,100,sub-far,0.5,-2.467682,3.1001753
NiMn,110,surf-close,0.5,-0.2338315,8.0145144,8.2483459,,NiMn,110,surf-close,0.5,-2.1198645,6.1284814,,NiMn,110,surf-close,0.5,-2.914856,5.3334899
NiMn,110,surf-far,0.5,-0.2441675,8.0041784,8.2483459,,NiMn,110,surf-far,0.5,-1.8210705,6.4272754,,NiMn,110,surf-far,0.5,-2.586689,5.6616569
NiMn,110,sub-close,0.5,-0.4068315,7.9822984,8.3891299,,NiMn,110,sub-close,0.5,-2.2855865,6.1035434,,NiMn,110,sub-close,0.5,-2.644879,5.7442509
NiMn,110,sub-far,0.5,-0.2624675,8.1266624,8.3891299,,NiMn,110,sub-far,0.5,-1.7824645,6.6066654,,NiMn,110,sub-far,0.5,-2.69187,5.6972599
NiMo,111,surf-close,0.75,-0.4634645,4.7611145,5.224579,,NiMo,111,surf-close,0.75,-2.8977575,2.3268215,,NiMo,111,surf-close,0.75,-2.576687,2.647892
NiMo,111,surf-far,0.25,-0.4675445,4.7570345,5.224579,,NiMo,111,surf-far,0.25,-1.6188325,3.6057465,,NiMo,111,surf-far,0.25,-1.678483,3.546096
NiMo,111,sub-close,0.75,-0.4448165,4.2826675,4.727484,,NiMo,111,sub-close,0.75,-2.1449375,2.5825465,,NiMo,111,sub-close,0.75,-2.191379,2.536105
NiMo,111,sub-far,0.25,-0.2464185,4.4810655,4.727484,,NiMo,111,sub-far,0.25,-1.7088275,3.0186565,,NiMo,111,sub-far,0.25,-2.13732,2.590164
NiMo,100,surf,1,-0.4001585,6.6122505,7.012409,,NiMo,100,surf,1,-3.1751075,3.8373015,,NiMo,100,surf-close,0.5,-3.21415,3.798259
NiMo,100,sub-close,0.25,-0.3559195,5.8260155,6.181935,,NiMo,100,sub-close,0.25,-2.1422175,4.0397175,,NiMo,100,surf-far,0.5,-3.177563,3.834846
NiMo,100,sub-adj,0.5,-0.3759075,5.8060275,6.181935,,NiMo,100,sub-adj,0.5,-2.4431775,3.7387575,,NiMo,100,sub-close,0.5,-2.402717,3.779218
NiMo,100,sub-diag,0.25,-0.3692335,5.8127015,6.181935,,NiMo,100,sub-diag,0.25,-2.0862065,4.0957285,,NiMo,100,sub-far,0.5,-2.456642,3.725293
NiMo,110,surf-close,0.5,-0.5467075,9.2515001,9.7982076,,NiMo,110,surf-close,0.5,-3.3600485,6.4381591,,NiMo,110,surf-close,0.5,-3.496927,6.3012806
NiMo,110,surf-far,0.5,-0.2240255,9.5741821,9.7982076,,NiMo,110,surf-far,0.5,-1.7177625,8.0804451,,NiMo,110,surf-far,0.5,-2.504244,7.2939636
NiMo,110,sub-close,0.5,-0.3950275,8.8131781,9.2082056,,NiMo,110,sub-close,0.5,-2.7781025,6.4301031,,NiMo,110,sub-close,0.5,-2.572799,6.6354066
NiMo,110,sub-far,0.5,-0.2607635,8.9474421,9.2082056,,NiMo,110,sub-far,0.5,-1.8075335,7.4006721,,NiMo,110,sub-far,0.5,-2.652428,6.5557776
NiPd,111,surf-close,0.75,-0.2823005,4.1324333,4.4147338,,NiPd,111,surf-close,0.75,-1.5652645,2.8494693,,NiPd,111,surf-close,0.75,-1.953599,2.4611348
NiPd,111,surf-far,0.25,-0.3151655,4.0995683,4.4147338,,NiPd,111,surf-far,0.25,-1.9815975,2.4331363,,NiPd,111,surf-far,0.25,-2.125573,2.2891608
NiPd,111,sub-close,0.75,-0.4110405,4.5470793,4.9581198,,NiPd,111,sub-close,0.75,-2.2687345,2.6893853,,NiPd,111,sub-close,0.75,-2.290441,2.6676788
NiPd,111,sub-far,0.25,-0.4795535,4.4785663,4.9581198,,NiPd,111,sub-far,0.25,-2.1797305,2.7783893,,NiPd,111,sub-far,0.25,-2.378502,2.5796178
NiPd,100,surf,1,-0.2874325,5.6131203,5.9005528,,NiPd,100,surf,1,-2.1052505,3.7953023,,NiPd,100,surf-close,0.5,-2.126281,3.7742718
